,decay,time,log_decay,log_time
479,420,37682,6.040254711,10.53693781
480,420,37806,6.040254711,10.5402231
481,100,37860,4.605170186,10.54165042
482,360,38303,5.886104031,10.5532835
483,5360,38322,8.586719254,10.55377942
484,600,38372,6.396929655,10.55508331
485,1660,38386,7.414572881,10.55544809
486,2840,38427,7.951559331,10.55651562
487,7680,38490,8.946374826,10.55815375
488,1420,38666,7.258412151,10.56271594
489,1840,38824,7.517520851,10.56679389
490,7000,39013,8.853665428,10.5716502
491,6320,39048,8.751474487,10.57254694
492,3060,39102,8.026170195,10.5739289
493,1180,39400,7.073269717,10.5815211
494,720,39418,6.579251212,10.58197784
495,1940,39515,7.570443252,10.58443563
496,340,39629,5.828945618,10.58731645
497,2820,39726,7.944492164,10.58976116
498,4000,39803,8.29404964,10.59169757
499,2660,39823,7.886081402,10.59219991
500,2840,39912,7.951559331,10.59443231
501,100,39956,4.605170186,10.59553413
502,3300,39998,8.101677747,10.59658473
503,660,40040,6.492239835,10.59763423
504,4280,40074,8.361708289,10.59848302
505,400,40143,5.991464547,10.60020336
506,2520,40214,7.832014181,10.60197047
507,2760,40426,7.922985959,10.60722842
508,15420,40603,9.643420647,10.61159723
509,4040,40633,8.303999971,10.61233582
510,60,40651,4.094344562,10.61277871
511,4780,40688,8.472195825,10.61368849
512,540,40898,6.29156914,10.61883644
513,5240,40914,8.564076777,10.61922758
514,5940,40994,8.689464412,10.62118099
515,4400,41078,8.38935982,10.62322798
516,4720,41630,8.459564079,10.63657634
517,1240,41639,7.122866659,10.63679251
518,2840,41665,7.951559331,10.63741673
519,940,41766,6.845879875,10.63983789
520,660,41853,6.492239835,10.64191876
521,4120,41959,8.323608442,10.64444823
522,5180,42216,8.552560335,10.65055458
523,40,42219,3.688879454,10.65062564
524,1040,42261,6.946975992,10.65161995
525,300,42383,5.703782475,10.65450262
526,60,42461,4.094344562,10.65634129
527,160,42491,5.075173815,10.65704757
528,11540,42536,9.35357454,10.65810606
529,480,42567,6.173786104,10.65883458
530,240,42569,5.480638923,10.65888157
531,480,42649,6.173786104,10.66075911
532,660,42763,6.492239835,10.66342852
533,5420,42789,8.597851094,10.66403634
534,820,42793,6.70930434,10.66412982
535,640,42983,6.461468176,10.66855997
536,3480,43058,8.154787573,10.67030332
537,3220,43194,8.077136639,10.67345688
538,680,43315,6.522092798,10.67625427
539,1480,43785,7.299797367,10.68704657
540,4120,43802,8.323608442,10.68743476
541,2020,43842,7.61085279,10.68834754
542,7140,43885,8.873468055,10.68932786
543,560,43948,6.327936784,10.6907624
544,4200,44032,8.342839804,10.69267192
545,1180,44157,7.073269717,10.69550674
546,2680,44182,7.893572074,10.69607275
547,1360,44216,7.215239979,10.69684199
548,760,44326,6.633318433,10.69932669
549,1880,44407,7.539027056,10.70115239
550,180,44447,5.192956851,10.70205275
551,1260,44476,7.138867,10.702705
552,900,44511,6.802394763,10.70349163
553,1700,44648,7.43838353,10.70656479
554,1380,44694,7.229838778,10.70759454
555,1980,44774,7.590852124,10.70938289
556,460,44794,6.131226489,10.70982948
557,5180,44832,8.552560335,10.71067745
558,1620,44887,7.390181428,10.7119035
559,1700,44907,7.43838353,10.71234896
560,2260,44916,7.723120092,10.71254936
561,4300,44926,8.366370302,10.71277197
562,640,44972,6.461468176,10.71379535
563,580,45014,6.363028104,10.71472883
564,1500,45029,7.313220387,10.71506201
565,1380,45118,7.229838778,10.71703656
566,3880,45220,8.263590433,10.71929475
567,820,45280,6.70930434,10.72062071
568,6720,45435,8.812843434,10.72403801
569,680,45616,6.522092798,10.72801381
570,1520,45680,7.326465614,10.72941584
571,5040,45717,8.525161361,10.7302255
572,1460,45765,7.286191715,10.73127489
573,2840,45771,7.951559331,10.73140598
574,1820,45811,7.50659178,10.73227952
575,3480,45886,8.154787573,10.73391534
576,8260,45911,9.019179867,10.73446002
577,280,45975,5.634789603,10.73585305
578,280,46120,5.634789603,10.73900197
579,300,46159,5.703782475,10.73984724
580,5860,46169,8.675904883,10.74006386
581,160,46176,5.075173815,10.74021546
582,960,46257,6.866933284,10.74196808
583,1480,46282,7.299797367,10.7425084
584,840,46386,6.733401892,10.74475297
585,4060,46405,8.308938253,10.74516249
586,1980,46683,7.590852124,10.75113535
587,840,46690,6.733401892,10.75128529
588,9160,46839,9.122601458,10.75447147
589,840,46876,6.733401892,10.7552611
590,3860,46925,8.258422462,10.75630586
591,1020,46938,6.927557906,10.75658286
592,1860,47191,7.528331767,10.76195848
593,2480,47223,7.816013839,10.76263634
594,840,47294,6.733401892,10.76413872
595,120,47442,4.787491743,10.76726319
596,1620,47476,7.390181428,10.7679796
597,8140,47499,9.004545459,10.76846394
598,940,47657,6.845879875,10.7717848
599,3960,47670,8.283999304,10.77205755
600,2400,47953,7.783224016,10.77797664
601,7320,48002,8.898365607,10.77899796
602,3020,48038,8.01301211,10.77974764
603,1340,48067,7.200424893,10.78035115
604,1420,48142,7.258412151,10.78191026
605,13920,48271,9.541081934,10.78458625
606,160,48279,5.075173815,10.78475196
607,260,48281,5.560681631,10.78479339
608,1900,48326,7.549609165,10.785725
609,1820,48488,7.50659178,10.78907162
610,740,48696,6.606650186,10.79335217
611,6480,48739,8.776475789,10.79423481
612,1020,48881,6.927557906,10.79714405
613,2480,48915,7.816013839,10.79783938
614,5720,48920,8.651724084,10.79794159
615,2360,48991,7.766416898,10.79939189
616,1100,49011,7.003065459,10.79980004
617,80,49159,4.382026635,10.80281522
618,240,49177,5.480638923,10.80318131
619,2660,49256,7.886081402,10.80478647
620,1760,49340,7.473069088,10.80649039
621,360,49418,5.886104031,10.80807001
622,1140,49426,7.038783541,10.80823188
623,1040,49469,6.946975992,10.80910149
624,800,49531,6.684611728,10.81035402
625,3380,49675,8.125630988,10.81325707
626,2560,49775,7.847762537,10.81526813
627,1360,49791,7.215239979,10.81558952
628,1020,49804,6.927557906,10.81585058
629,4440,49818,8.398409655,10.81613164
630,2660,49869,7.886081402,10.81715485
631,1780,49883,7.484368643,10.81743554
632,460,49939,6.131226489,10.81855754
633,820,50017,6.70930434,10.82011823
634,1140,50031,7.038783541,10.82039809
635,9420,50037,9.150590368,10.82051801
636,4240,50147,8.352318548,10.82271397
637,1320,50201,7.185387016,10.82379023
638,2320,50274,7.749322465,10.82524332
639,3320,50313,8.107720062,10.82601877
640,2780,50524,7.930206207,10.83020375
